───────────────────────────────────────────────────────────────────────────────
Language            Files       Lines    Blanks  Comments       Code Complexity
~ajv\lib\compile\resolve.js       270        35        22        213         92
~ajv\lib\compile\resolve.js       270        35        22        213         92
~\ajv\lib\dotjs\required.js       270         0         2        268         89
~\ajv\lib\dotjs\required.js       270         0         2        268         89
~map\build\crawlers\node.js       269         3        11        255         52
~rules\no-ignored-return.js       269         0        24        245         19
~int\lib\rules\use-isnan.js       268        37        44        187         14
~\grouped-accessor-pairs.js       268        30        66        172         24
~odules\node-int64\Int64.js       268        32       120        116         36
~int\lib\rules\sort-keys.js       268        33        37        198         15
~ode_modules\execa\index.js       268        43         3        222         19
~de_modules\qs\lib\utils.js       268        45         6        217         71
~rules\no-mixed-requires.js       267        29        51        187         18
~es\fast-uri\lib\schemes.js       267         1         0        266          0
~e-file-atomic\lib\index.js       267        32        16        219         54
~\lib\rules\no-loop-func.js       267        36        73        158         20
~s\test\empty-keys-cases.js       267         1         0        266          0
~s\no-restricted-globals.js       266        33        37        196         13
~re\build\collectHandles.js       266        10        33        223         40
~hus\merge-streams\index.js       265        41         8        216         32
~dules\tunnel\lib\tunnel.js       264        34         9        221         24
~se\lib\path\replacement.js       264         2         1        261         71
~promise-executor-return.js       264        35        53        176         10
~b\elements\autocomplete.js       264        32        16        216         47
~o-useless-backreference.js       263        36        47        180         20
~ee\lib\token-translator.js       263        47        59        157         53
~_modules\debug\src\node.js       263        32        56        175         15
~lysis\code-path-segment.js       262        34       137         91         12
~e_modules\qs\test\utils.js       262        50         1        211          2
~ect-inspect\test\values.js       261        55         2        204          2
~core\lib\config\caching.js       261         2         1        258         36
~or\lib\node\parentheses.js       261         2         1        258        152
~les\json5\lib\stringify.js       261        43         0        218         58
~les\optionator\lib\help.js       260         0         1        259         78
~ib\rules\no-fallthrough.js       260        33        52        175         10
~_modules\keyv\src\index.js       259        43         1        215         48
~rules\multiline-ternary.js       257        22        12        223         13
~es\des.js\lib\des\utils.js       256        37        10        209         27
~l\traverse\lib\visitors.js       256         2         1        253         79
~atures-plugin\lib\index.js       255         2         1        252         87
~modules\acorn-jsx\xhtml.js       255         0         0        255          0
~-to-istanbul\lib\source.js       254        22        66        166         34
~scope\lib\scope-manager.js       253        42        64        147         17
~ules\no-mixed-operators.js       253        23        69        161          5
~\cjs\internal\ajax\ajax.js       253         0         1        252         57
~unction-bind\test\index.js       252        27         1        224          2
~b\rules\space-infix-ops.js       252        30        48        174         13
~\no-useless-constructor.js       252        26        80        146          9
~mputed-property-spacing.js       251        23        47        181         13
~mpts\dist\elements\date.js       250        49        19        182         24
~ts\dist\elements\number.js       250        56        16        178         33
~\class-methods-use-this.js       250        27        65        158         15
~es\no-loss-of-precision.js       249        30        72        147         15
~s\no-restricted-modules.js       249        27        46        176         11
~\lines-around-directive.js       249        28        54        167         12
~es\semver\ranges\subset.js       249        25        51        173         88
~le\dom\WebSocketSubject.js       249         0         1        248         52
~ste-map\build\ModuleMap.js       249         3        15        231         45
~rules\no-param-reassign.js       248        28        53        167         15
~odules\fill-range\index.js       248        51         7        190         67
~rules\utils\char-source.js       247        34        60        153         18
~es\semver\ranges\subset.js       247        24        51        172         88
~es\semver\ranges\subset.js       247        24        51        172         88
~\generator-star-spacing.js       246        26        46        174         13
~mpts\dist\elements\text.js       245        53        11        181         33
~atchers\FSEventsWatcher.js       244         5        22        217         33
~rules\no-invalid-regexp.js       243        32        54        157         17
~gs\build\lib\completion.js       243         0         0        243         58
~averse\lib\path\context.js       242         2         1        239         74
~s\newline-before-return.js       242        31        75        136         15
~\ajv\dist\compile\index.js       242         0        17        225         57
